id,title,author,date,preview,content,replies,views,category,datetime,id_category,category_name
359,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
360,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
361,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
362,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
363,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
364,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
365,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
366,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
367,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
368,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
369,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
370,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
371,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
372,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
373,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
374,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
375,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
376,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
377,Best Movie Boxset Artwork,BoxsetArt,1 week ago,Showcasing the most beautiful box set designs and artwork...,The artwork on the Second Sight Dawn of the Dead 4K set is stunning! Also love Arrow's Gamera collection and Criterion's Bergman Cinema box. What are some of your favorite box set designs? Which labels consistently deliver great artwork?,67,445,6,1 week ago,6,Documentary & Educational
378,Rare TV Miniseries Collections,MiniseriesFan,1 week ago,Collecting rare and out-of-print TV miniseries releases...,Just found a complete set of the original BBC Edge of Darkness on DVD! Also managed to get the rare Pride and Prejudice (1995) box set. What are some of your favorite TV miniseries releases? Any rare ones you're hunting for?,56,378,6,1 week ago,6,Documentary & Educational
379,Classic Horror Collection Essentials,HorrorClassics,1 week ago,Building a classic horror collection - what are the must-have releases?,"Working on building my classic horror collection. So far I have Universal's Monster Collection, Hammer's Horror sets from Scream Factory, and various Criterion releases. What other releases would you consider essential for a classic horror collection? Any particular versions to seek out or avoid?",78,456,4,1 week ago,4,Horror & Thriller
380,Soundtrack CD Collecting,SoundtrackFan,1 week ago,Share your movie soundtrack collection and rare finds...,"Recently found some rare soundtrack CDs - the complete Blade Runner by Vangelis (including unused cues), and the original pressing of Morricone's The Thing. What are your favorite soundtrack releases? Any rare ones you're hunting for?",78,489,6,1 week ago,6,Documentary & Educational
